Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Colorau,3431,QUILO,20,5,100
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Colorau,000000303,QUILO,5,10,50
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Colorau,3449,GRAMA,10,5,50
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Colorau,3427,GRAMA,20,5,100
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00001,MAÇO,407,1.75,712.25
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00003,MAÇO,265,1.75,463.75
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00008,MAÇO,634,1.75,1109.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00006,MAÇO,562,1.75,983.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00003,MAÇO,716,1.75,1253
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Couve manteiga,00002,MAÇO,784,1.75,1372
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Extrato de tomate,000000303,GRAMA,100,0.8,80
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Farinha de mandioca, torrada",000000303,QUILO,50,7,350
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Farinha de mandioca, torrada",3427,QUILO,200,7,1400
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Farinha de mandioca, torrada",3431,QUILO,200,7,1400
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Farinha de mandioca, torrada",3446,QUILO,150,7,1050
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Farinha de milho pré-cozida, flocos, diversos tamanhos (Cuscuz)",3446,GRAMA,90,3,270
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Farinha láctea,3427,GRAMA,20,4,80
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Farinha láctea,3431,GRAMA,20,4,80
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Feijão carioca,000000303,QUILO,150,6.5,975
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Feijão carioca,3449,QUILO,400,6.5,2600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Feijão carioca,3427,QUILO,400,6.5,2600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Feijão carioca,3431,QUILO,150,6.5,975
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Feijão carioca,000000360,QUILO,80,6.5,520
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Frango inteiro, resfriado/congelado",3422,QUILO,200,8,1600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Frango inteiro, resfriado/congelado",000000307,QUILO,316,8,2528
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Frango, coxa e sobrecoxa, resfriado/congelado",3422,QUILO,300,9,2700
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Frango, peito, diversos cortes, resfriado/congelado",3422,QUILO,200,9.75,1950
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Laranja,00003,QUILO,221,1.86,411.06
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Laranja,00006,QUILO,647,1.86,1203.42
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Laranja,00008,QUILO,337,1.86,626.82
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Leite de vaca integral, UHT",000000360,LITRO,2000,4,8000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Leite de vaca integral, UHT",000310,LITRO,1896,3,5688
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Leite de vaca integral, UHT",000000307,LITRO,1200,4,4800
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",000000360,GRAMA,300,1.55,465
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",000310,QUILO,500,2.15,1075
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",3431,GRAMA,200,1.35,270
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",3431,GRAMA,550,1.55,852.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",000000303,GRAMA,500,1.55,775
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",3427,GRAMA,400,1.55,620
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",3427,GRAMA,200,1.35,270
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",3446,GRAMA,300,1.55,465
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, fresco/seco",000000303,GRAMA,300,1.35,405
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Macarrão de trigo, com ou sem ovos, integral, fresco/seco",000310,GRAMA,100,2,200
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00002,QUILO,55,3.6,198
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00008,QUILO,97,3.6,349.2
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00003,QUILO,184,3.6,662.4
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00001,QUILO,40,3.6,144
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00003,QUILO,58,3.6,208.8
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mamão,00006,QUILO,147,3.6,529.2
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mandioca,00003,QUILO,300,2.4,720
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mandioca,00002,QUILO,127,2.4,304.8
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mandioca,00006,QUILO,592,2.4,1420.8
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Mandioca,00001,QUILO,69,2.4,165.6
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Margarina, diversos % de lipídios",000310,GRAMA,70,3,210
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Melancia,00003,QUILO,395,4.4,1738
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Melancia,00005,QUILO,825,4.4,3630
